Date,Days_after_First_Cases,Cases_Domestic,Deaths_Domestic,DailyConfirmed_Domestic,DailyDeath_Domestic,Cases_Capital,Deaths_Capital,DailyConfirmed_Capital,DailyDeath_Capital,Cases_NonCapital,Deaths_NonCapital,DailyConfirmed_NonCapital,DailyDeath_NonCapital,Cases_Chungcheong,Deaths_Chungcheong,DailyConfirmed_Chungcheong,DailyDeath_Chungcheong,Cases_Honam,Deaths_Honam,DailyConfirmed_Honam,DailyDeath_Honam,Cases_Gyeongbuk,Deaths_Gyeongbuk,DailyConfirmed_Gyeongbuk,DailyDeath_Gyeongbuk,Cases_Gyeongnam,Deaths_Gyeongnam,DailyConfirmed_Gyeongnam,DailyDeath_Gyeongnam,Cases_Gangwon,Deaths_Gangwon,DailyConfirmed_Gangwon,DailyDeath_Gangwon,Cases_Jeju,Deaths_Jeju,DailyConfirmed_Jeju,DailyDeath_Jeju
2020-10-16,271,22428,441,41,2,10827,161,36,1,11601,280,5,1,1065,12,3,0,730,5,2,0,7246,197,0,0,1114,14,1,1,222,3,0,0,52,0,0,0
2020-10-17,272,22490,443,62,2,10877,162,50,1,11613,281,12,1,1067,13,2,1,730,5,0,0,7246,197,0,0,1122,15,8,1,225,3,3,0,52,0,0,0
2020-10-18,273,22561,444,71,1,10944,163,67,1,11617,281,4,0,1068,13,1,0,730,5,0,0,7246,197,0,0,1124,15,2,0,226,3,1,0,52,0,0,0
2020-10-19,274,22611,444,50,0,10974,163,30,0,11637,281,20,0,1072,13,4,0,731,5,1,0,7246,197,0,0,1140,15,16,0,227,3,1,0,52,0,0,0
2020-10-20,275,22652,447,41,3,11010,165,36,2,11642,282,5,1,1074,14,2,1,731,5,0,0,7246,198,0,1,1142,15,2,0,229,3,2,0,52,0,0,0
2020-10-21,276,22709,450,57,3,11050,168,40,3,11659,282,17,0,1078,14,4,0,731,5,0,0,7246,198,0,0,1153,15,11,0,229,3,0,0,52,0,0,0
2020-10-22,277,22813,453,104,3,11132,171,82,3,11681,282,22,0,1089,14,11,0,733,5,2,0,7248,198,2,0,1169,15,16,0,231,3,2,0,52,0,0,0
2020-10-23,278,22951,455,138,2,11253,171,121,0,11698,284,17,2,1093,14,4,0,740,5,7,0,7253,198,5,0,1173,16,4,1,232,3,1,0,52,0,0,0
2020-10-24,279,23017,457,66,2,11309,172,56,1,11708,285,10,1,1103,15,10,1,740,5,0,0,7253,198,0,0,1178,17,5,1,232,3,0,0,52,0,0,0
2020-10-25,280,23067,457,50,0,11353,172,44,0,11714,285,6,0,1106,15,3,0,740,5,0,0,7253,198,0,0,1182,17,4,0,232,3,0,0,52,0,0,0
2020-10-26,281,23161,457,94,0,11441,172,88,0,11720,285,6,0,1109,15,3,0,740,5,0,0,7254,198,1,0,1183,17,1,0,232,3,0,0,52,0,0,0
2020-10-27,282,23233,460,72,3,11494,174,53,2,11739,286,19,1,1115,16,6,1,742,5,2,0,7255,198,1,0,1183,17,0,0,238,3,6,0,52,0,0,0
2020-10-28,283,23329,461,96,1,11555,175,61,1,11774,286,35,0,1123,16,8,0,745,5,3,0,7257,198,2,0,1184,17,1,0,252,3,14,0,52,0,0,0
2020-10-29,284,23435,462,106,1,11648,176,93,1,11787,286,13,0,1124,16,1,0,747,5,2,0,7260,198,3,0,1185,17,1,0,259,3,7,0,52,0,0,0
2020-10-30,285,23528,463,93,1,11720,177,72,1,11808,286,21,0,1127,16,3,0,749,5,2,0,7270,198,10,0,1188,17,3,0,265,3,6,0,52,0,0,0
2020-10-31,286,23624,464,96,1,11797,177,77,0,11827,287,19,1,1134,16,7,0,749,5,0,0,7279,198,9,0,1194,18,6,1,265,3,0,0,52,0,0,0
2020-11-01,287,23725,466,101,2,11878,178,81,1,11847,288,20,1,1144,16,10,0,752,5,3,0,7282,198,3,0,1203,19,9,1,268,3,3,0,52,0,0,0
2020-11-02,288,23804,468,79,2,11940,179,62,1,11864,289,17,1,1156,16,12,0,754,5,2,0,7286,198,4,0,1214,20,11,1,268,3,0,0,52,0,0,0
2020-11-03,289,23850,472,46,4,11976,180,36,1,11874,292,10,3,1163,17,7,1,756,6,2,1,7287,199,1,1,1220,21,6,1,269,3,1,0,52,0,0,0
2020-11-04,290,23948,474,98,2,12060,180,84,0,11888,294,14,2,1174,17,11,0,756,6,0,0,7288,199,1,0,1231,23,11,2,269,3,0,0,53,0,1,0
2020-11-05,291,24056,475,108,1,12132,181,72,1,11924,294,36,0,1199,17,25,0,756,6,0,0,7292,199,4,0,1257,23,26,0,270,3,1,0,53,0,0,0
2020-11-06,292,24173,476,117,1,12204,182,72,1,11969,294,45,0,1224,17,25,0,756,6,0,0,7292,199,0,0,1282,23,25,0,277,3,7,0,53,0,0,0
2020-11-07,293,24245,477,72,1,12255,183,51,1,11990,294,21,0,1233,17,9,0,756,6,0,0,7293,199,1,0,1292,23,10,0,281,3,4,0,53,0,0,0
2020-11-08,294,24363,478,118,1,12334,184,79,1,12029,294,39,0,1244,17,11,0,761,6,5,0,7302,199,9,0,1300,23,8,0,290,3,9,0,53,0,0,0
2020-11-09,295,24462,480,99,2,12395,185,61,1,12067,295,38,1,1256,17,12,0,766,6,5,0,7310,199,8,0,1310,24,10,1,301,3,11,0,53,0,0,0
2020-11-10,296,24533,485,71,5,12448,189,53,4,12085,296,18,1,1261,17,5,0,772,6,6,0,7312,199,2,0,1315,25,5,1,304,3,3,0,53,0,0,0
2020-11-11,297,24646,487,113,2,12529,191,81,2,12117,296,32,0,1269,17,8,0,775,6,3,0,7313,199,1,0,1324,25,9,0,312,3,8,0,53,0,0,0
2020-11-12,298,24774,487,128,0,12617,191,88,0,12157,296,40,0,1280,17,11,0,789,6,14,0,7315,199,2,0,1335,25,11,0,318,3,6,0,54,0,1,0
2020-11-13,299,24936,488,162,1,12730,192,113,1,12206,296,49,0,1288,17,8,0,803,6,14,0,7316,199,1,0,1342,25,7,0,341,3,23,0,55,0,1,0
2020-11-14,300,25102,492,166,4,12839,195,109,3,12263,297,57,1,1302,17,14,0,824,6,21,0,7316,199,0,0,1354,25,12,0,359,4,18,1,55,0,0,0
2020-11-15,301,25278,493,176,1,12963,196,124,1,12315,297,52,0,1315,17,13,0,839,6,15,0,7324,199,8,0,1359,25,5,0,378,4,19,0,55,0,0,0
2020-11-16,302,25470,494,192,1,13090,197,127,1,12380,297,65,0,1327,17,12,0,854,6,15,0,7327,199,3,0,1365,25,6,0,398,4,20,0,56,0,1,0
2020-11-17,303,25672,494,202,0,13227,197,137,0,12445,297,65,0,1337,17,10,0,888,6,34,0,7329,199,2,0,1374,25,9,0,411,4,13,0,56,0,0,0
2020-11-18,304,25917,496,245,2,13408,198,181,1,12509,298,64,1,1344,17,7,0,912,6,24,0,7331,199,2,0,1385,25,11,0,416,5,5,1,56,0,0,0
2020-11-19,305,26210,498,293,2,13585,200,177,2,12625,298,116,0,1361,17,17,0,948,6,36,0,7336,199,5,0,1403,25,18,0,436,5,20,0,56,0,0,0
2020-11-20,306,26530,501,320,3,13803,203,218,3,12727,298,102,0,1378,17,17,0,979,6,31,0,7339,199,3,0,1420,25,17,0,460,5,24,0,58,0,2,0
2020-11-21,307,26891,503,361,2,14065,204,262,1,12826,299,99,1,1399,17,21,0,1016,6,37,0,7340,200,1,1,1447,25,27,0,474,5,14,0,58,0,0,0
2020-11-22,308,27193,505,302,2,14284,206,219,2,12909,299,83,0,1410,17,11,0,1049,6,33,0,7340,200,0,0,1460,25,13,0,486,5,12,0,58,0,0,0
2020-11-23,309,27448,509,255,4,14490,207,206,1,12958,302,49,3,1420,17,10,0,1064,6,15,0,7341,201,1,1,1473,25,13,0,497,6,11,1,59,0,1,0
2020-11-24,310,27768,510,320,1,14707,208,217,1,13061,302,103,0,1432,17,12,0,1088,6,24,0,7346,201,5,0,1487,25,14,0,542,6,45,0,60,0,1,0
2020-11-25,311,28131,513,363,3,14962,209,255,1,13169,304,108,2,1457,17,25,0,1118,7,30,1,7354,202,8,1,1526,25,39,0,554,6,12,0,63,0,3,0
2020-11-26,312,28683,515,552,2,15363,211,401,2,13320,304,151,0,1486,17,29,0,1157,7,39,0,7363,202,9,0,1567,25,41,0,562,6,8,0,65,0,2,0
2020-11-27,313,29208,516,525,1,15700,212,337,1,13508,304,188,0,1544,17,58,0,1204,7,47,0,7382,202,19,0,1629,25,62,0,570,6,8,0,68,0,3,0
2020-11-28,314,29694,522,486,6,16023,218,323,6,13671,304,163,0,1594,17,50,0,1234,7,30,0,7406,202,24,0,1673,25,44,0,603,6,33,0,70,0,2,0
2020-11-29,315,30107,523,413,1,16286,219,263,1,13821,304,150,0,1634,17,40,0,1277,7,43,0,7426,202,20,0,1706,25,33,0,622,6,19,0,70,0,0,0
2020-11-30,316,30521,526,414,3,16547,220,261,1,13974,306,153,2,1666,18,32,1,1308,7,31,0,7452,202,26,0,1765,27,59,2,630,6,8,0,70,0,0,0
2020-12-01,317,30941,526,420,0,16802,220,255,0,14139,306,165,0,1725,18,59,0,1341,7,33,0,7494,202,42,0,1814,27,49,0,639,6,9,0,70,0,0,0
2020-12-02,318,31434,526,493,0,17158,220,356,0,14276,306,137,0,1759,18,34,0,1378,7,37,0,7514,202,20,0,1857,27,43,0,651,6,12,0,72,0,2,0
2020-12-03,319,31950,529,516,3,17577,222,419,2,14373,307,97,1,1792,18,33,0,1390,7,12,0,7526,203,12,1,1887,27,30,0,659,6,8,0,73,0,1,0
2020-12-04,320,32550,536,600,7,18040,228,463,6,14510,308,137,1,1840,19,48,1,1407,7,17,0,7537,203,11,0,1945,28,58,1,662,6,3,0,75,0,2,0
2020-12-05,321,33109,540,559,4,18440,232,400,4,14669,308,159,0,1882,19,42,0,1434,7,27,0,7562,203,25,0,1985,28,40,0,671,6,9,0,76,0,1,0
2020-12-06,322,33708,545,599,5,18910,235,470,3,14798,310,129,2,1914,19,32,0,1456,7,22,0,7578,203,16,0,2036,28,51,0,682,8,11,2,76,0,0,0
2020-12-07,323,34288,549,580,4,19332,238,422,3,14956,311,158,1,1937,19,23,0,1482,7,26,0,7594,203,16,0,2117,28,81,0,691,9,9,1,76,0,0,0
2020-12-08,324,34850,552,562,3,19714,241,382,3,15136,311,180,0,1971,19,34,0,1512,7,30,0,7606,203,12,0,2218,28,101,0,699,9,8,0,78,0,2,0
2020-12-09,325,35495,555,645,3,20229,243,515,2,15266,312,130,1,2007,19,36,0,1535,7,23,0,7629,203,23,0,2255,28,37,0,703,10,4,1,78,0,0,0
2020-12-10,326,36141,563,646,8,20718,247,489,4,15423,316,157,4,2049,19,42,0,1551,9,16,2,7644,203,15,0,2323,30,68,2,718,10,15,0,87,0,9,0
2020-12-11,327,36814,571,673,8,21230,251,512,4,15584,320,161,4,2086,19,37,0,1565,9,14,0,7670,203,26,0,2405,32,82,2,729,11,11,1,92,0,5,0
2020-12-12,328,37742,577,928,6,21899,255,669,4,15843,322,259,2,2135,19,49,0,1587,9,22,0,7726,203,56,0,2495,33,90,1,765,11,36,0,92,0,0,0
2020-12-13,329,38742,579,1000,2,22684,256,785,1,16058,323,215,1,2171,19,36,0,1614,9,27,0,7769,203,43,0,2568,33,73,0,782,12,17,1,95,0,3,0
2020-12-14,330,39424,586,682,7,23157,260,473,4,16267,326,209,3,2247,20,76,1,1645,9,31,0,7806,203,37,0,2642,35,74,2,796,12,14,0,103,0,8,0
2020-12-15,331,40272,599,848,13,23732,267,575,7,16540,332,273,6,2341,23,94,3,1664,9,19,0,7848,204,42,1,2768,40,126,5,809,12,13,0,112,0,9,0
2020-12-16,332,41326,611,1054,12,24489,278,757,11,16837,333,297,1,2413,23,72,0,1745,10,81,1,7897,204,49,0,2850,40,82,0,817,12,8,0,127,0,15,0
2020-12-17,333,42319,633,993,22,25273,290,784,12,17046,343,209,10,2460,28,47,5,1773,11,28,1,7936,207,39,3,2921,45,71,5,826,13,9,1,139,0,12,0
2020-12-18,334,43357,644,1038,11,26032,293,759,3,17325,351,279,8,2511,29,51,1,1793,11,20,0,7986,207,50,0,3006,53,85,8,844,13,18,0,166,0,27,0
2020-12-19,335,44382,658,1025,14,26720,297,688,4,17662,361,337,10,2643,32,132,3,1820,13,27,2,8109,209,123,2,3076,58,70,5,871,13,27,0,190,0,24,0
2020-12-20,336,45454,673,1072,15,27496,309,776,12,17958,364,296,3,2679,34,36,2,1866,14,46,1,8148,211,39,2,3133,58,57,0,926,13,55,0,214,0,24,0
2020-12-21,337,46346,697,892,24,28145,324,649,15,18201,373,243,9,2727,37,48,3,1896,15,30,1,8198,213,50,2,3185,62,52,4,948,13,22,0,237,0,23,0
2020-12-22,338,47168,721,822,24,28689,344,544,20,18479,377,278,4,2782,40,55,3,1930,15,34,0,8267,215,69,2,3232,64,47,2,971,13,23,0,256,0,19,0
2020-12-23,339,48226,738,1058,17,29405,356,716,12,18821,382,342,5,2886,41,104,1,1997,16,67,1,8349,215,82,0,3291,68,59,4,984,13,13,0,289,0,33,0
2020-12-24,340,49181,755,955,17,30049,369,644,13,19132,386,311,4,2973,42,87,1,2025,16,28,0,8421,215,72,0,3372,72,81,4,1005,13,21,0,315,0,26,0
2020-12-25,341,50396,772,1215,17,30910,376,861,7,19486,396,354,10,3108,46,135,4,2076,17,51,1,8484,219,63,4,3484,77,112,5,1018,13,13,0,335,0,20,0
2020-12-26,342,51500,792,1104,20,31672,390,762,14,19828,402,342,6,3219,47,111,1,2146,18,70,1,8535,220,51,1,3579,80,95,3,1053,13,35,0,359,0,24,0
2020-12-27,343,52446,806,946,14,32328,398,656,8,20118,408,290,6,3312,48,93,1,2175,18,29,0,8580,221,45,1,3675,85,96,5,1076,13,23,0,366,0,7,0
2020-12-28,344,53233,817,787,11,32858,404,530,6,20375,413,257,5,3382,49,70,1,2195,19,20,1,8634,221,54,0,3745,88,70,3,1103,13,27,0,377,0,11,0
2020-12-29,345,54262,857,1029,40,33659,434,801,30,20603,423,228,10,3465,51,83,2,2221,22,26,3,8685,222,51,1,3792,93,47,5,1124,13,21,0,382,0,5,0
2020-12-30,346,55287,877,1025,20,34364,451,705,17,20923,426,320,3,3558,53,93,2,2262,22,41,0,8779,224,94,2,3872,94,80,1,1141,13,17,0,392,0,10,0
2020-12-31,347,56227,898,940,21,35007,467,643,16,21220,431,297,5,3603,54,45,1,2286,22,24,0,8833,224,54,0,3996,99,124,5,1177,13,36,0,401,0,9,0
2021-01-01,348,57230,915,1003,17,35698,482,691,15,21532,433,312,2,3652,55,49,1,2316,22,30,0,8898,225,65,1,4109,99,113,0,1206,13,29,0,406,0,5,0
2021-01-02,349,58014,940,784,25,36234,496,536,14,21780,444,248,11,3699,60,47,5,2349,22,33,0,8961,230,63,5,4158,104,49,5,1237,13,31,0,418,0,12,0
